Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Duration,Job-Level,Languages,URL,Description_Tokenized,Duration_Tokenized,Job_Level_Tokenized,Languages_Tokenized
Global Skills Development Report,yes,No,"A
E
B
C
D
P","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",nan minutes,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",Standard Language,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,"['This', 'report', 'is', 'designed', 'to', 'be', 'given', 'to', 'individuals', 'who', 'have', 'completed', 'the', 'Global', 'Skills', 'Assessment', '(GSA).', 'With', 'coverage', 'across', 'the', 'Great', '8', 'Domains,', 'this', 'measure', 'of', 'self-reported', 'behaviors', 'offers', 'a', 'complete', 'overview', 'of', 'their', 'current', 'skills.', 'Participants', 'receive', 'actionable', 'tips', 'on', 'leveraging', 'their', 'top', 'skill', 'strengths', 'and', 'how', 'they', 'might', 'develop', 'their', 'growth', 'skills.']","['nan', 'minutes']","['Director', ',', 'Entry-Level', ',', 'Executive', ',', 'General', 'Population', ',', 'Graduate', ',', 'Manager', ',', 'Mid-Professional', ',', 'Front', 'Line', 'Manager', ',', 'Supervisor', ',']","['Standard', 'Language']"
.NET Framework 4.5,yes,yes,K,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30 minutes,"Professional Individual Contributor, Mid-Professional,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,"['The.NET', 'Framework', '4.5', 'test', 'measures', 'knowledge', 'of', '.NET', 'environment.', 'Designed', 'for', 'experienced', 'users,', 'this', 'test', 'covers', 'the', 'following', 'topics:', 'Application', 'Development,', 'Application', 'Foundation,', 'Data', 'Modeling,', 'Deployment,', 'Diagnostics,', 'Performance,', 'Portability,', 'and', 'Security.']","['30', 'minutes']","['Professional', 'Individual', 'Contributor', ',', 'Mid-Professional', ',']","['English', '(', 'USA', ')', ',']"
.NET MVC (New),yes,No,K,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'Model-View-Controller', '(MVC)', 'architecture,', 'validation,', 'security,', 'routing,', 'and', 'areas.']","['17', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
.NET MVVM (New),yes,No,K,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'MVVM', 'pattern,', 'scenarios,', 'data', 'validation,', 'ViewModel', 'communication', 'and', 'Quick-start.']","['5', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
.NET WCF (New),yes,No,K,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', '.NET', 'fundamentals,', 'WCF', 'architecture,', 'programming', 'model,', 'SOA,', 'managing', 'and', 'programming', 'WCF.']","['11', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
.NET WPF (New),yes,No,K,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', '.NET', 'basics,', 'WPF,', 'XAML', 'controls,', 'events,', 'layouts,', 'working', 'with', 'WPF', 'windows/menus', 'and', 'deploying', 'WPF', 'applications.']","['9', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
.NET XAML (New),yes,No,K,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'XAML', 'triggers,', 'data', 'binding,', 'custom', 'controls', 'and', 'layouts.']","['5', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Accounts Payable (New),yes,No,K,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,"['Multiple-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'processing', 'payables', 'and', 'vendor', 'invoices,', 'and', 'the', 'posting', 'of', 'journal', 'entries.']","['9', 'minutes']","['Entry-Level', ',', 'Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Accounts Payable Simulation (New),yes,No,S,Simulated data entry test that measures the ability to process payables and vendor invoices.,8 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,"['Simulated', 'data', 'entry', 'test', 'that', 'measures', 'the', 'ability', 'to', 'process', 'payables', 'and', 'vendor', 'invoices.']","['8', 'minutes']","['Entry-Level', ',', 'Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Accounts Receivable (New),yes,No,K,Multiple-choice test that measures the knowledge of processing receivables and invoices.,13 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,"['Multiple-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'processing', 'receivables', 'and', 'invoices.']","['13', 'minutes']","['Entry-Level', ',', 'Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
